timestamp,cpu,memory,disk_read,disk_write,event
1764965918.854504,44.3,83.8,1409450070016,718010540032,
1764965919.8555284,59.1,84.1,1409450070016,718010998784,
1764965920.8566573,34.8,85.4,1409450070016,718010998784,
1764965921.8576477,37.3,89.4,1409451397120,718010998784,
1764965922.85885,55.2,89.0,1409452068864,718011506688,
1764965923.8602846,24.1,73.7,1409452724224,718025482240,
1764965924.8613088,23.8,76.9,1409452724224,718025482240,
1764965925.86248,53.0,78.6,1409452724224,718026481664,
1764965926.8634572,54.1,78.4,1409452724224,718026481664,
1764965927.8644354,34.2,79.7,1409452724224,718026481664,
1764965928.8654594,37.7,81.0,1409453133824,718026481664,
1764965929.8665335,64.7,83.2,1409453469696,718026481664,
1764965930.8682122,47.0,83.4,1409453469696,718026760192,
1764965931.8692079,34.3,86.6,1409455435776,718026760192,
1764965932.8702676,44.8,88.3,1409456230400,718026760192,
1764965933.8712416,41.4,74.9,1409457647616,718026760192,
1764965934.872259,36.2,76.5,1409457647616,718026760192,
1764965935.8732753,39.1,78.1,1409457704960,718027522048,
1764965936.8745055,62.4,80.6,1409457704960,718027522048,
1764965937.8755198,40.9,80.2,1409457704960,718027522048,
1764965938.876466,34.6,81.1,1409457704960,718037229568,
1764965939.8779697,53.6,83.2,1409457909760,718037229568,
1764965940.8789766,54.9,84.7,1409459187712,718037917696,
1764965941.8801186,33.2,84.7,1409459826688,718037917696,
1764965942.8811233,34.3,79.5,1409460457472,718037917696,
1764965943.8822367,62.4,78.1,1409460457472,718037917696,
1764965944.8831863,39.6,78.0,1409461006336,718038859776,
1764965945.8841403,35.1,79.3,1409461055488,718038859776,
1764965946.885423,52.2,81.1,1409461071872,718038859776,
1764965947.8864079,51.1,81.6,1409461071872,718038859776,
1764965948.8876772,35.2,82.4,1409461841920,718038908928,
1764965949.8887477,37.5,85.2,1409651970048,718039252992,
1764965950.8897667,58.4,88.0,1409683410944,718039252992,
1764965951.8907354,33.1,81.4,1409684033536,718039252992,
1764965952.8914008,29.6,79.0,1409684033536,718039252992,
1764965953.8926387,57.5,81.1,1409684033536,718052655104,
1764965954.8937488,49.0,81.2,1409684115456,718053474304,
1764965955.8950722,34.8,83.3,1409689489408,718053474304,
1764965956.8962631,40.3,84.6,1409690374144,718053474304,
1764965957.8973377,49.4,82.3,1409690374144,718053474304,
1764965958.8983,34.5,84.8,1409691635712,718053474304,
1764965959.8992143,29.7,79.0,1409691635712,718053974016,
1764965960.9004958,63.0,81.2,1409691635712,718053974016,
1764965961.9014637,43.0,80.7,1409691635712,718054006784,
1764965962.9026537,34.3,82.1,1409691635712,718054006784,
1764965963.9040782,47.7,84.5,1409692258304,718054006784,
